Date,Regime_ID
2019-12-31,0
2020-01-31,0
2020-02-29,3
2020-03-31,3
2020-04-30,3
2020-05-31,3
2020-06-30,3
2020-07-31,3
2020-08-31,0
2020-09-30,0
2020-10-31,0
2020-11-30,0
2020-12-31,0
2021-01-31,0
2021-02-28,0
2021-03-31,0
2021-04-30,0
2021-05-31,0
2021-06-30,0
2021-07-31,0
2021-08-31,0
2021-09-30,0
2021-10-31,0
2021-11-30,0
2021-12-31,0
2022-01-31,0
2022-02-28,0
2022-03-31,0
2022-04-30,0
2022-05-31,0
2022-06-30,0
2022-07-31,0
2022-08-31,0
2022-09-30,0
2022-10-31,0
2022-11-30,0
2022-12-31,0
2023-01-31,0
2023-02-28,0
2023-03-31,0
2023-04-30,0
2023-05-31,0
2023-06-30,0
2023-07-31,0
2023-08-31,0
2023-09-30,0
2023-10-31,0
2023-11-30,0
2023-12-31,0
2024-01-31,0
2024-02-29,0
2024-03-31,0
2024-04-30,0
2024-05-31,1
2024-06-30,1
2024-07-31,1
2024-08-31,0
2024-09-30,0
2024-10-31,0
2024-11-30,1
2024-12-31,1
2025-01-31,0
2025-02-28,0
2025-03-31,0
2025-04-30,0
